token,simple_l2,mlm_simple_l2,int_grad,mlm_int_grad,perturb_proba0,perturb_proba0_change,mlm_perturb_proba0,mlm_perturb_proba0_change
[CLS],0.5740137696266174,0.3997358083724975,-0.065495679839477,-0.2027685440821958,,,,
i,0.9910205602645874,0.4186827540397644,0.1520199758234557,0.046192015095468,0.6630503,0.11164856,0.29810748,-0.0028821826
’,1.0394022464752195,0.6423503756523132,0.0217959167484437,0.0615415977812525,0.6521281,0.100726366,0.28231692,-0.018672734
m,1.2814079523086548,0.5596482157707214,0.3145907158111369,0.0483025036051332,0.80925703,0.2578553,0.32115138,0.020161718
up,1.4544569253921509,0.9777603149414062,0.2620999418386543,0.1924220344081098,0.7470701,0.19566834,0.3343609,0.03337124
for,0.9000471234321594,0.5411658883094788,0.0797120716792867,0.1397553024222347,0.7361218,0.18472004,0.31457326,0.0135836005
it,0.5985320806503296,0.3938521444797516,0.2749020653418479,0.399143294045741,0.7144286,0.16302687,0.30815822,0.007168561
",",0.8790651559829712,0.4970631301403045,0.0511310843584082,0.1038325264919413,0.6292546,0.077852845,0.29247928,-0.008510381
can,2.2680258750915527,1.260991454124451,0.5914339454376867,0.6369834271023558,0.82092685,0.2695251,0.37921384,0.07822418
she,2.7762527465820312,1.717170000076294,-0.1396744077657351,-0.041321757078301,0.03186277,-0.51953894,0.079950295,-0.22103935
handle,3.747572898864746,2.133303642272949,0.3309164052075863,0.4501044802587775,0.7932075,0.24180579,0.3517744,0.050784737
two,2.2233619689941406,1.6133779287338257,0.2559225775765574,0.2453376828573455,0.6947559,0.14335418,0.28253928,-0.01845038
at,0.8517671823501587,0.5484669804573059,0.0363556674553678,0.1404420116278247,0.6071071,0.05570537,0.28067726,-0.020312399
the,0.59187912940979,0.3854753673076629,0.0136934257119948,0.0383043406975404,0.61970913,0.0683074,0.2726403,-0.02834937
same,1.1619824171066284,0.8138477206230164,0.0217571769128502,0.0385394202118248,0.6523542,0.10095245,0.29548934,-0.0055003166
time,0.6604673862457275,0.4346080720424652,0.0161952101768625,0.0768670472872803,0.65188503,0.1004833,0.2961351,-0.00485456
?,0.9076063632965088,0.5541837215423584,0.0866764642055245,-0.0526793137049762,0.7312467,0.17984498,0.3218445,0.02085483
[SEP],0.7374036312103271,0.5329228043556213,0.4072580714619021,-0.1495869367368263,,,,
unmasked,,,,,0.55140173,0.0,0.30098966,0.0
