token,simple_l2,mlm_simple_l2,int_grad,mlm_int_grad,perturb_proba0,perturb_proba0_change,mlm_perturb_proba0,mlm_perturb_proba0_change
[CLS],0.6672211289405823,0.913147270679474,0.0895340907539395,0.0836277336107127,,,,
looks,3.247835874557495,4.324699401855469,-0.0678123399314092,0.0393585772575382,0.0036358398,0.0021890947,0.0490602,0.031343758
wet,2.7303757667541504,4.984249114990234,0.6737100831923556,0.4430979123844054,0.02933707,0.027890326,0.075522274,0.057805836
and,1.078879714012146,1.572279453277588,0.133769767201315,0.3748826382989319,0.0015855847,0.00013883959,0.044981558,0.027265118
ready,2.42185378074646,3.655497312545776,0.5200357799644062,0.8066748871112153,0.014627458,0.013180712,0.15953502,0.14181858
[SEP],1.365179181098938,2.110788583755493,0.4951447201481192,-0.0621303356993982,,,,
unmasked,,,,,0.0014467451,0.0,0.01771644,0.0
