token,simple_l2,mlm_simple_l2,int_grad,mlm_int_grad,perturb_proba0,perturb_proba0_change,mlm_perturb_proba0,mlm_perturb_proba0_change
[CLS],1.2309329509735107,0.6069529056549072,0.0470249297226991,-0.0942636412744185,,,,
exactly,7.6261701583862305,2.804654598236084,0.3485160705155626,0.1562529150964758,0.18174602,0.17208968,0.22456321,0.14175917
what,3.659308671951294,1.2007688283920288,0.5125948165788197,0.1695609398399336,0.09896301,0.08930667,0.21334198,0.13053794
i,1.9470856189727783,0.7138650417327881,0.0418149407687493,-0.1733565842536074,0.010094245,0.00043790508,0.15168604,0.068882
need,3.788551568984986,1.4273884296417236,0.1618299537778927,0.3215882201048025,0.41415265,0.4044963,0.32060817,0.23780413
after,2.335228443145752,0.9830029010772704,0.1911257211540062,0.303130769308544,0.24754503,0.2378887,0.17943762,0.09663358
a,1.0884743928909302,0.474143236875534,0.1741070622786392,0.2490578096405022,0.028178742,0.018522402,0.12453055,0.041726507
long,1.9685368537902832,0.9710738062858582,0.2509826916385548,0.2333132225055834,0.030684253,0.021027913,0.13180178,0.048997745
day,2.3490512371063232,0.8650956153869629,0.1260188548775335,0.2118905854749228,0.035984743,0.026328404,0.15116,0.06835596
at,1.2458109855651855,0.5934593677520752,0.2881500721400798,0.1527201213121048,0.024947211,0.015290871,0.1195438,0.03673976
work,1.9233042001724243,1.0031334161758425,0.4624854196999951,0.6793769366039746,0.08002864,0.0703723,0.18273742,0.099933386
.,1.3053717613220217,0.5721607208251953,-0.0783462639912765,0.1265547899017642,0.020073222,0.010416882,0.120738834,0.037934795
[SEP],1.576706051826477,0.7129916548728943,0.3699426943226795,-0.2243516957378794,,,,
unmasked,,,,,0.00965634,0.0,0.08280404,0.0
