token,simple_l2,mlm_simple_l2,int_grad,mlm_int_grad,perturb_proba0,perturb_proba0_change,mlm_perturb_proba0,mlm_perturb_proba0_change
[CLS],2.195863008499145,0.6897249817848206,-0.0069513880983673,0.0269469354224205,,,,
can,4.423916339874268,0.9412095546722412,0.0587279815208048,0.0093859506122706,0.51985085,0.4235513,0.62694174,-0.037605524
you,4.992998123168945,0.9452398419380188,0.4654600666417442,0.0252554849202633,0.34994176,0.2536422,0.53791946,-0.1266278
self,13.039809226989746,2.775820255279541,0.0403563082139767,-0.0535150112201806,0.32110438,0.22480482,0.47432175,-0.19022551
##su,8.83234977722168,2.1881706714630127,0.4697926620971661,0.5575847099680697,0.43564606,0.3393465,0.5072394,-0.15730786
##ck,8.966917037963867,2.8171749114990234,0.1661482204850444,-0.2195617482658876,0.26638457,0.17008501,0.4595143,-0.20503297
that,3.0961079597473145,0.8638181686401367,-0.0149155979598124,-0.0032510884312894,0.5998008,0.5035013,0.5971302,-0.067417085
thing,4.317819595336914,1.169580578804016,0.5476566474183677,0.7824697736883404,0.5632677,0.46696815,0.58227503,-0.08227223
?,2.894810676574707,0.6783689856529236,0.299008153997656,0.0367236056916047,0.5853026,0.48900303,0.66919285,0.004645586
[SEP],3.075754165649414,0.7925698757171631,0.3746391142518348,0.1515185171501417,,,,
unmasked,,,,,0.09629955,0.0,0.66454726,0.0
